AcresBurned,AdminUnit,ArchiveYear,Counties,Extinguished,Fatalities,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,WaterTenders,fire_duration,AdminUnitCleaned
40.0,CAL FIRE Santa Clara Unit,2013,Santa Clara,2013-12-31 16:00:00+00:00,,37.342186,-121.717706,False,Grant Fire,,2013-12-31 05:30:00+00:00,,0.4375,santaclara
40.0,Orange County Fire Authority,2013,Orange,2013-10-09 08:00:00+00:00,,33.7655,-117.6649,False,Baker Fire,,2013-10-06 10:52:00+00:00,,2.8805555555555555,orangeauthority
40.0,CAL FIRE/Riverside County Fire,2013,Riverside,2013-08-16 21:00:00+00:00,,33.570291,-116.10815,False,Pierce Fire,,2013-08-16 13:31:00+00:00,,0.31180555555555556,riverside
40.0,CAL FIRE / Riverside County Fire,2013,Riverside,2013-07-20 19:30:00+00:00,,33.9634,-117.2508,False,Heacock Fire,,2013-07-19 16:21:00+00:00,,1.13125,riverside
40.0,CAL FIRE/Riverside County Fire,2013,Riverside,2013-06-15 08:00:00+00:00,,34.001745,-117.302057,False,Palmyrita Fire,,2013-06-14 13:47:00+00:00,,0.7590277777777777,riverside
40.0,CAL FIRE Riverside Unit,2013,Riverside,2013-05-17 08:30:00+00:00,,33.655638,-116.161201,True,54 Fire,65.0,2013-05-16 13:48:00+00:00,,0.7791666666666667,riverside
38.0,CAL FIRE Sanoma-Lake-Napa Unit,2013,Lake,2013-08-07 18:30:00+00:00,,39.1591,-122.5906,False,Indian Fire,,2013-08-07 12:35:00+00:00,,0.2465277777777778,sanomalakenapa
38.0,CAL FIRE Santa Clara Unit / Alameda County Fire,2013,Alameda,2013-07-06 14:30:00+00:00,,37.74241,-121.86216,False,Fallon Fire,,2013-07-06 13:09:00+00:00,,0.05625,santaclaraalameda
35.0,CAL FIRE/Fresno County Fire,2013,Fresno,2013-06-13 21:30:00+00:00,,36.763367,-119.558244,False,Michelle Fire,,2013-06-13 15:54:00+00:00,,0.23333333333333334,fresno
35.0,CAL FIRE San Luis Obispo Unit,2013,San Luis Obispo,2013-05-20 19:10:00+00:00,,35.49864,-120.91375,False,Cottontail Fire,,2013-05-20 15:45:00+00:00,,0.1423611111111111,sanluisobispo
33.0,CAL FIRE Shasta-Trinity Unit,2013,Shasta,2013-11-07 19:45:00+00:00,,40.483662,-122.140914,False,Dersch Fire,,2013-11-07 16:10:00+00:00,,0.14930555555555555,shastatrinity
31.0,CAL FIRE Tuolumne-Calaveras Unit,2013,Calaveras,2013-07-23 15:10:00+00:00,,37.965364,-120.696362,False,Chuckwagon Fire,,2013-07-22 12:34:00+00:00,,1.1083333333333334,tuolumneaveras
30.0,CAL FIRE Sonoma-Lake-Napa Unit,2013,Lake,2013-06-06 07:00:00+00:00,,38.99233,-122.703193,False,Lake Fire,,2013-06-05 16:05:00+00:00,,0.6215277777777778,sonomalakenapa
